scenario_id,N_low,N_high,component_id,component_label,component_kind,multiplier,component_low,component_high,delta_component,alpha_contribution,alpha_share,component_sign_low,component_sign_high,log_elasticity_defined,numerical_zero
scenario_1_iid,4,8,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
scenario_1_iid,4,8,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.25,0.125,-0.125,1.0000000000000002,1.0,1,1,True,False
scenario_1_iid,8,16,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
scenario_1_iid,8,16,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.125,0.0625,-0.0625,0.9999999999999998,1.0,1,1,True,False
scenario_1_iid,16,32,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
scenario_1_iid,16,32,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.0625,0.03125,-0.03125,0.9999999999999998,1.0,1,1,True,False
scenario_1_iid,32,64,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
scenario_1_iid,32,64,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.03125,0.015625,-0.015625,1.0000000000000007,1.0,1,1,True,False
scenario_1_rho_0_15,4,8,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.11249999999999999,0.13125,0.018750000000000017,-0.08831099832520395,-0.1764705882352943,1,1,True,False
scenario_1_rho_0_15,4,8,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.25,0.125,-0.125,0.5887399888346925,1.1764705882352944,1,1,True,False
scenario_1_rho_0_15,8,16,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.13125,0.140625,0.009374999999999994,-0.05915015145699336,-0.176470588235294,1,1,True,False
scenario_1_rho_0_15,8,16,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.125,0.0625,-0.0625,0.3943343430466226,1.176470588235294,1,1,True,False
scenario_1_rho_0_15,16,32,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.140625,0.14531249999999998,0.004687499999999983,-0.03568038540234107,-0.17647058823529335,1,1,True,False
scenario_1_rho_0_15,16,32,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.0625,0.03125,-0.03125,0.23786923601560803,1.1764705882352933,1,1,True,False
scenario_1_rho_0_15,32,64,B_TOTAL,Total doubled covariance,covariance_total,2.0,0.14531249999999998,0.14765625,0.0023437500000000056,-0.019909381823700934,-0.17647058823529457,1,1,True,False
scenario_1_rho_0_15,32,64,D_TOTAL,Total diagonal variance,diagonal_total,1.0,0.03125,0.015625,-0.015625,0.13272921215800593,1.1764705882352946,1,1,True,False
scenario_2_heterogeneous_independent,4,8,A_FAST,N^-0.9 component,variance_component,1.0,0.2871745887492587,0.15389305166811454,-0.13328153708114418,0.4239669889236023,0.7289978887095772,1,1,True,False
scenario_2_heterogeneous_independent,4,8,A_SLOW,0.4 N^-0.3 component,variance_component,1.0,0.2639015821545789,0.21435469250725864,-0.049546889647320236,0.15760806841172145,0.27100211129042284,1,1,True,False
scenario_2_heterogeneous_independent,4,8,B_ZERO,Numerical covariance remainder,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
scenario_2_heterogeneous_independent,8,16,A_FAST,N^-0.9 component,variance_component,1.0,0.15389305166811454,0.08246924442330589,-0.07142380724480865,0.3334086044706603,0.6396063299940566,1,1,True,False
scenario_2_heterogeneous_independent,8,16,A_SLOW,0.4 N^-0.3 component,variance_component,1.0,0.21435469250725864,0.17411011265922482,-0.04024457984803381,0.1878629790575365,0.36039367000594336,1,1,True,False
scenario_2_heterogeneous_independent,8,16,B_ZERO,Numerical covariance remainder,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
scenario_2_heterogeneous_independent,16,32,A_FAST,N^-0.9 component,variance_component,1.0,0.08246924442330589,0.044194173824159216,-0.03827507059914667,0.2519285490524371,0.5393602939112442,1,1,True,False
scenario_2_heterogeneous_independent,16,32,A_SLOW,0.4 N^-0.3 component,variance_component,1.0,0.17411011265922482,0.14142135623730953,-0.032688756421915294,0.2151591322181717,0.4606397060887558,1,1,True,False
scenario_2_heterogeneous_independent,16,32,B_ZERO,Numerical covariance remainder,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
scenario_2_heterogeneous_independent,32,64,A_FAST,N^-0.9 component,variance_component,1.0,0.044194173824159216,0.02368307135172497,-0.020511102472434248,0.1838663555765871,0.43582573756871346,1,1,True,False
scenario_2_heterogeneous_independent,32,64,A_SLOW,0.4 N^-0.3 component,variance_component,1.0,0.14142135623730953,0.11486983549970352,-0.026551520737606013,0.23801408820422162,0.5641742624312867,1,1,True,False
scenario_2_heterogeneous_independent,32,64,B_ZERO,Numerical covariance remainder,covariance_total,2.0,0.0,0.0,0.0,-0.0,-0.0,0,0,False,True
