scenario_id,N_low,N_high,left_part,right_part,term_type,component_low,component_high,delta_component,alpha_contribution
scenario_1_iid,4,8,B_TOTAL,B_TOTAL,covariance,0.0,0.0,0.0,-0.0
scenario_1_iid,4,8,D_TOTAL,D_TOTAL,variance,0.25,0.125,-0.125,1.0000000000000002
scenario_1_iid,8,16,B_TOTAL,B_TOTAL,covariance,0.0,0.0,0.0,-0.0
scenario_1_iid,8,16,D_TOTAL,D_TOTAL,variance,0.125,0.0625,-0.0625,0.9999999999999998
scenario_1_iid,16,32,B_TOTAL,B_TOTAL,covariance,0.0,0.0,0.0,-0.0
scenario_1_iid,16,32,D_TOTAL,D_TOTAL,variance,0.0625,0.03125,-0.03125,0.9999999999999998
scenario_1_iid,32,64,B_TOTAL,B_TOTAL,covariance,0.0,0.0,0.0,-0.0
scenario_1_iid,32,64,D_TOTAL,D_TOTAL,variance,0.03125,0.015625,-0.015625,1.0000000000000007
scenario_1_rho_0_15,4,8,B_TOTAL,B_TOTAL,covariance,0.11249999999999999,0.13125,0.018750000000000017,-0.08831099832520395
scenario_1_rho_0_15,4,8,D_TOTAL,D_TOTAL,variance,0.25,0.125,-0.125,0.5887399888346925
scenario_1_rho_0_15,8,16,B_TOTAL,B_TOTAL,covariance,0.13125,0.140625,0.009374999999999994,-0.05915015145699336
scenario_1_rho_0_15,8,16,D_TOTAL,D_TOTAL,variance,0.125,0.0625,-0.0625,0.3943343430466226
scenario_1_rho_0_15,16,32,B_TOTAL,B_TOTAL,covariance,0.140625,0.14531249999999998,0.004687499999999983,-0.03568038540234107
scenario_1_rho_0_15,16,32,D_TOTAL,D_TOTAL,variance,0.0625,0.03125,-0.03125,0.23786923601560803
scenario_1_rho_0_15,32,64,B_TOTAL,B_TOTAL,covariance,0.14531249999999998,0.14765625,0.0023437500000000056,-0.019909381823700934
scenario_1_rho_0_15,32,64,D_TOTAL,D_TOTAL,variance,0.03125,0.015625,-0.015625,0.13272921215800593
scenario_2_heterogeneous_independent,4,8,A_FAST,A_FAST,variance,0.2871745887492587,0.15389305166811454,-0.13328153708114418,0.4239669889236023
scenario_2_heterogeneous_independent,4,8,A_SLOW,A_SLOW,variance,0.2639015821545789,0.21435469250725864,-0.049546889647320236,0.15760806841172145
scenario_2_heterogeneous_independent,4,8,B_ZERO,B_ZERO,covariance,0.0,0.0,0.0,-0.0
scenario_2_heterogeneous_independent,8,16,A_FAST,A_FAST,variance,0.15389305166811454,0.08246924442330589,-0.07142380724480865,0.3334086044706603
scenario_2_heterogeneous_independent,8,16,A_SLOW,A_SLOW,variance,0.21435469250725864,0.17411011265922482,-0.04024457984803381,0.1878629790575365
scenario_2_heterogeneous_independent,8,16,B_ZERO,B_ZERO,covariance,0.0,0.0,0.0,-0.0
scenario_2_heterogeneous_independent,16,32,A_FAST,A_FAST,variance,0.08246924442330589,0.044194173824159216,-0.03827507059914667,0.2519285490524371
scenario_2_heterogeneous_independent,16,32,A_SLOW,A_SLOW,variance,0.17411011265922482,0.14142135623730953,-0.032688756421915294,0.2151591322181717
scenario_2_heterogeneous_independent,16,32,B_ZERO,B_ZERO,covariance,0.0,0.0,0.0,-0.0
scenario_2_heterogeneous_independent,32,64,A_FAST,A_FAST,variance,0.044194173824159216,0.02368307135172497,-0.020511102472434248,0.1838663555765871
scenario_2_heterogeneous_independent,32,64,A_SLOW,A_SLOW,variance,0.14142135623730953,0.11486983549970352,-0.026551520737606013,0.23801408820422162
scenario_2_heterogeneous_independent,32,64,B_ZERO,B_ZERO,covariance,0.0,0.0,0.0,-0.0
