scenario_id,N_low,N_high,N_midpoint,log_N_ratio,H_low,H_high,concentration_alpha,variance_low,variance_high,direct_alpha,reconstructed_alpha,alpha_residual,absolute_alpha_residual,allowed_error,normalized_error,decomposition_status
scenario_1_iid,4,8,5.656854249492381,0.6931471805599453,0.25,0.125,1.0,0.25,0.125,1.0,1.0000000000000002,-2.220446049250313e-16,2.220446049250313e-16,2.0000000000000004e-12,0.00011102230246251564,PASS
scenario_1_iid,8,16,11.313708498984761,0.6931471805599453,0.125,0.0625,1.0,0.125,0.0625,1.0,0.9999999999999998,2.220446049250313e-16,2.220446049250313e-16,2e-12,0.00011102230246251565,PASS
scenario_1_iid,16,32,22.627416997969522,0.6931471805599453,0.0625,0.03125,1.0,0.0625,0.03125,1.0,0.9999999999999998,2.220446049250313e-16,2.220446049250313e-16,2e-12,0.00011102230246251565,PASS
scenario_1_iid,32,64,45.254833995939045,0.6931471805599453,0.03125,0.015625,1.0,0.03125,0.015625,1.0,1.0000000000000007,-6.661338147750939e-16,6.661338147750939e-16,2.0000000000000004e-12,0.0003330669073875469,PASS
scenario_1_rho_0_15,4,8,5.656854249492381,0.6931471805599453,0.25,0.125,1.0,0.3625,0.25625,0.5004289905094886,0.5004289905094885,1.1102230246251565e-16,1.1102230246251565e-16,1.5004289905094886e-12,7.399370657642166e-05,PASS
scenario_1_rho_0_15,8,16,11.313708498984761,0.6931471805599453,0.125,0.0625,1.0,0.25625,0.203125,0.3351841915896293,0.33518419158962925,5.551115123125783e-17,5.551115123125783e-17,1.3351841915896294e-12,4.1575650446525994e-05,PASS
scenario_1_rho_0_15,16,32,22.627416997969522,0.6931471805599453,0.0625,0.03125,1.0,0.203125,0.17656249999999998,0.20218885061326675,0.20218885061326697,-2.220446049250313e-16,2.220446049250313e-16,1.2021888506132669e-12,0.0001847002696887105,PASS
scenario_1_rho_0_15,32,64,45.254833995939045,0.6931471805599453,0.03125,0.015625,1.0,0.17656249999999998,0.16328125,0.11281983033430497,0.112819830334305,-2.7755575615628914e-17,2.7755575615628914e-17,1.112819830334305e-12,2.4941661587114953e-05,PASS
scenario_2_heterogeneous_independent,4,8,5.656854249492381,0.6931471805599453,,,,0.5510761709038376,0.3682477441753732,0.5815750573353238,0.5815750573353238,0.0,0.0,1.5815750573353238e-12,0.0,PASS
scenario_2_heterogeneous_independent,8,16,11.313708498984761,0.6931471805599453,,,,0.3682477441753732,0.2565793570825307,0.5212715835281969,0.5212715835281968,1.1102230246251565e-16,1.1102230246251565e-16,1.521271583528197e-12,7.297993577519412e-05,PASS
scenario_2_heterogeneous_independent,16,32,22.627416997969522,0.6931471805599453,,,,0.2565793570825307,0.18561553006146875,0.46708768127060873,0.46708768127060885,-1.1102230246251565e-16,1.1102230246251565e-16,1.4670876812706089e-12,7.56753014014554e-05,PASS
scenario_2_heterogeneous_independent,32,64,45.254833995939045,0.6931471805599453,,,,0.18561553006146875,0.1385529068514285,0.42188044378080886,0.4218804437808087,1.6653345369377348e-16,1.6653345369377348e-16,1.4218804437808089e-12,0.00011712198055903888,PASS
