scenario_id,N,concentration_H,expected_variance,direct_variance,reconstructed_variance,variance_residual,absolute_variance_residual,diagonal_total,covariance_total,covariance_share,n_observations,ddof
scenario_1_iid,4,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,,
scenario_1_iid,8,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,,
scenario_1_iid,16,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0,0.0,,
scenario_1_iid,32,0.03125,0.03125,0.03125,0.03125,0.0,0.0,0.03125,0.0,0.0,,
scenario_1_iid,64,0.015625,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.0,,
scenario_1_rho_0_15,4,0.25,0.3625,0.3625,0.3625,0.0,0.0,0.25,0.11249999999999999,0.31034482758620685,,
scenario_1_rho_0_15,8,0.125,0.25625,0.25625,0.25625,0.0,0.0,0.125,0.13125,0.5121951219512195,,
scenario_1_rho_0_15,16,0.0625,0.203125,0.203125,0.203125,0.0,0.0,0.0625,0.140625,0.6923076923076923,,
scenario_1_rho_0_15,32,0.03125,0.17656249999999998,0.17656249999999998,0.17656249999999998,0.0,0.0,0.03125,0.14531249999999998,0.8230088495575221,,
scenario_1_rho_0_15,64,0.015625,0.16328125,0.16328125,0.16328125,0.0,0.0,0.015625,0.14765625,0.9043062200956937,,
scenario_2_heterogeneous_independent,4,,0.5510761709038376,0.5510761709038376,0.5510761709038376,0.0,0.0,0.0,0.0,0.0,,
scenario_2_heterogeneous_independent,8,,0.3682477441753732,0.3682477441753732,0.3682477441753732,0.0,0.0,0.0,0.0,0.0,,
scenario_2_heterogeneous_independent,16,,0.2565793570825307,0.2565793570825307,0.2565793570825307,0.0,0.0,0.0,0.0,0.0,,
scenario_2_heterogeneous_independent,32,,0.18561553006146875,0.18561553006146875,0.18561553006146875,0.0,0.0,0.0,0.0,0.0,,
scenario_2_heterogeneous_independent,64,,0.1385529068514285,0.1385529068514285,0.1385529068514285,0.0,0.0,0.0,0.0,0.0,,
