scenario_id,N,direct_variance,reconstructed_variance,residual,n_observations,ddof
scenario_1_iid,4,0.25,0.25,0.0,,
scenario_1_iid,8,0.125,0.125,0.0,,
scenario_1_iid,16,0.0625,0.0625,0.0,,
scenario_1_iid,32,0.03125,0.03125,0.0,,
scenario_1_iid,64,0.015625,0.015625,0.0,,
scenario_1_rho_0_15,4,0.3625,0.3625,0.0,,
scenario_1_rho_0_15,8,0.25625,0.25625,0.0,,
scenario_1_rho_0_15,16,0.203125,0.203125,0.0,,
scenario_1_rho_0_15,32,0.17656249999999998,0.17656249999999998,0.0,,
scenario_1_rho_0_15,64,0.16328125,0.16328125,0.0,,
scenario_2_heterogeneous_independent,4,0.5510761709038376,0.5510761709038376,0.0,,
scenario_2_heterogeneous_independent,8,0.3682477441753732,0.3682477441753732,0.0,,
scenario_2_heterogeneous_independent,16,0.2565793570825307,0.2565793570825307,0.0,,
scenario_2_heterogeneous_independent,32,0.18561553006146875,0.18561553006146875,0.0,,
scenario_2_heterogeneous_independent,64,0.1385529068514285,0.1385529068514285,0.0,,
